id,name,status,species,type,gender,origin,quantity_appeared
786,Birdperson & Tammy's Child,Alive,Humanoid,Bird-Person Human Mix,Female,Earth (Replacement Dimension),1
787,Two Crows,Alive,Animal,Crow,unknown,Earth (Replacement Dimension),2
788,Mr. Cookie President,Alive,Alien,Cookie,Male,unknown,1
789,Nick,Dead,Human,,Male,Earth (Replacement Dimension),1
790,Harold (Garbage Goober),Alive,Alien,,Male,unknown,1
791,Harold's Wife,Alive,Alien,,Female,unknown,1
792,Alien Crow,Dead,Alien,Crow,Male,Avian Planet,1
793,Alien Crow,Dead,Alien,Crow,Female,Avian Planet,1
794,Samansky,Dead,Alien,Normal Size Bug,Male,Normal Size Bug Dimension,1
795,Palicki,Alive,Alien,Normal Size Bug,Male,Normal Size Bug Dimension,1
796,Sarge,Alive,Alien,Normal Size Bug,Male,Normal Size Bug Dimension,1
797,Slartivartian,Dead,Alien,Slartivartian,Male,Slartivart,1
798,Ferkusian,Alive,Alien,Ferkusian,Male,Ferkus 9,1
799,Morglutzian,Dead,Alien,Morglutzian,Male,Morglutz,1
800,Super Turkey,Dead,Humanoid,Turkey Human Mix,Male,Earth (Replacement Dimension),1
801,7+7 Years Old Morty,unknown,Human,,Male,Citadel of Ricks,1
802,26 Years Old Morty,Dead,Human,,Male,Citadel of Ricks,1
803,40 Years Old Morty,unknown,Human,,Male,Citadel of Ricks,1
804,Andy,unknown,Human,Mascot,Male,unknown,1
805,Baby Mouse Skin Morty,Alive,Human,,Male,Citadel of Ricks,1
806,Metaphor for Capitalism,Dead,Humanoid,,Male,Citadel of Ricks,1
807,Beth Sanchez,Dead,Human,,Female,Earth (C-137),1
808,Crow Scare,Alive,Humanoid,Scarecrow,Male,Rick and Two Crows Planet,1
809,Pussifer,Dead,Animal,Tiger,Male,Rick and Two Crows Planet,1
810,Stan Lee Rick,unknown,Human,,Male,unknown,1
811,Re-Build-a-Morty Morty,unknown,Human,,Male,unknown,1
812,Deformed Morty,Dead,Humanoid,,Male,Citadel of Ricks,1
813,Crow Horse,Alive,Robot,Crow Horse,unknown,Rick and Two Crows Planet,1
814,Bald Rick,Dead,Human,,Male,unknown,1
815,Punk Rick,Dead,Human,,Male,unknown,1
816,Party Rick,Dead,Human,,Male,unknown,1
817,Scar Rick,Dead,Human,,Male,unknown,1
818,Long Hair Rick,unknown,Human,,Male,unknown,1
819,Redhead Rick,Dead,Human,,Male,unknown,1
820,Redhead Morty,Dead,Human,,Male,unknown,1
821,Gotron,unknown,Robot,Ferret Robot,Genderless,Earth (Replacement Dimension),1
822,Young Jerry,unknown,Human,,Male,Earth (Unknown dimension),1
823,Young Beth,unknown,Human,,Female,Earth (Unknown dimension),1
824,Young Beth,unknown,Human,,Female,Earth (Unknown dimension),1
825,Young Jerry,unknown,Human,,Male,Earth (Unknown dimension),1
826,Butter Robot,Alive,Robot,Passing Butter Robot,Genderless,Earth (Replacement Dimension),1
